epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8849,1.54309,3.41141,1.61055,0.35485,0.53384,0.39988,0.24538,1.36812,5.15652,1.53765,0.000249925,0.000249925,0.000249925
2,63.0292,1.54284,2.20983,1.5285,0.40917,0.34229,0.31784,0.19717,1.51946,2.71315,1.82402,0.000503752,0.000503752,0.000503752
3,80.0839,1.56675,2.00287,1.61659,0.51646,0.20257,0.26927,0.15494,1.70785,2.88124,1.92265,0.000755042,0.000755042,0.000755042
4,95.415,1.63345,2.03935,1.63038,0.18226,0.25677,0.16311,0.06937,1.88842,3.06642,2.13263,0.00075758,0.00075758,0.00075758
5,110.357,1.59681,1.79923,1.59453,0.25655,0.24792,0.15703,0.07897,1.8437,3.19824,2.08489,0.000753774,0.000753774,0.000753774
6,125.518,1.61238,1.85022,1.55408,0.32715,0.44544,0.31536,0.14973,1.70192,2.34763,1.82466,0.000749967,0.000749967,0.000749967
7,140.707,1.5699,1.86126,1.56814,0.45947,0.43726,0.38317,0.21162,1.65778,2.31601,1.86028,0.000746161,0.000746161,0.000746161
8,155.725,1.53648,1.71553,1.55706,0.46171,0.55778,0.4815,0.26044,1.67058,2.55088,1.82997,0.000742354,0.000742354,0.000742354
9,171.036,1.56329,1.73839,1.57789,0.56417,0.41565,0.48669,0.28734,1.5971,2.17506,1.759,0.000738548,0.000738548,0.000738548
10,186.74,1.55809,1.67815,1.55845,0.51192,0.48577,0.5625,0.34931,1.42434,2.05609,1.62934,0.000734741,0.000734741,0.000734741
11,202.433,1.47002,1.52208,1.53802,0.72965,0.45635,0.55005,0.33996,1.45713,1.86884,1.66886,0.000730935,0.000730935,0.000730935
12,217.624,1.46191,1.53272,1.54716,0.69501,0.50062,0.62229,0.39172,1.45765,1.50969,1.62738,0.000727128,0.000727128,0.000727128
13,232.755,1.41551,1.60006,1.52098,0.57094,0.53217,0.55538,0.34307,1.45679,1.81917,1.68912,0.000723321,0.000723321,0.000723321
14,247.926,1.45365,1.47956,1.46531,0.64713,0.55971,0.63698,0.40842,1.37232,1.4764,1.56659,0.000719515,0.000719515,0.000719515
15,263.453,1.40738,1.36893,1.47236,0.551,0.53378,0.48547,0.30204,1.51937,1.76307,1.70594,0.000715708,0.000715708,0.000715708
16,278.687,1.43625,1.39713,1.50412,0.78535,0.64004,0.74906,0.48029,1.38751,1.31441,1.60598,0.000711902,0.000711902,0.000711902
17,294.823,1.35692,1.35055,1.45129,0.67886,0.68479,0.7306,0.45593,1.49265,1.38462,1.71986,0.000708095,0.000708095,0.000708095
18,310.148,1.39164,1.33672,1.45243,0.71893,0.68627,0.73933,0.45191,1.42443,1.19534,1.60928,0.000704289,0.000704289,0.000704289
19,325.445,1.34067,1.23944,1.43796,0.73336,0.67839,0.75828,0.49848,1.26284,1.30318,1.50565,0.000700482,0.000700482,0.000700482
20,340.93,1.303,1.22003,1.37627,0.67839,0.6182,0.70443,0.45585,1.37726,1.30004,1.57634,0.000696676,0.000696676,0.000696676
21,356.474,1.33723,1.21633,1.40059,0.74014,0.63362,0.69635,0.45116,1.26637,1.42274,1.47635,0.000692869,0.000692869,0.000692869
22,372.049,1.27931,1.25988,1.41849,0.6974,0.71032,0.76061,0.49542,1.37819,1.19293,1.60388,0.000689062,0.000689062,0.000689062
23,388.674,1.35275,1.35508,1.38767,0.75382,0.65156,0.74599,0.50094,1.28861,1.21352,1.48985,0.000685256,0.000685256,0.000685256
24,404.564,1.28739,1.20844,1.37657,0.82722,0.72757,0.80085,0.52323,1.28923,1.1548,1.49973,0.000681449,0.000681449,0.000681449
25,420.448,1.27596,1.15844,1.41509,0.74276,0.77512,0.79328,0.51233,1.29697,1.12202,1.51497,0.000677643,0.000677643,0.000677643
26,436.14,1.29786,1.12607,1.37672,0.80851,0.70358,0.77936,0.54411,1.27696,1.08989,1.49134,0.000673836,0.000673836,0.000673836
27,451.805,1.28342,1.14416,1.37918,0.68964,0.7132,0.73487,0.48286,1.32982,1.21827,1.5329,0.00067003,0.00067003,0.00067003
28,468.235,1.26655,1.16867,1.38135,0.7856,0.74786,0.80431,0.56183,1.23694,1.04789,1.47456,0.000666223,0.000666223,0.000666223
29,484.234,1.24766,1.09179,1.37787,0.80587,0.67805,0.73838,0.49768,1.32488,1.2915,1.51781,0.000662417,0.000662417,0.000662417
30,499.92,1.19882,1.08911,1.37578,0.79819,0.69162,0.78347,0.51041,1.35089,1.08366,1.52107,0.00065861,0.00065861,0.00065861
31,515.742,1.22293,1.07801,1.34055,0.76908,0.67501,0.76017,0.52401,1.26645,1.02362,1.45284,0.000654804,0.000654804,0.000654804
32,531.813,1.21273,1.07977,1.32849,0.80884,0.65356,0.75312,0.49393,1.38401,1.06912,1.59306,0.000650997,0.000650997,0.000650997
